bushtel_id,community,community_type,latitude,longitude,sa2_code,community_sa2_name,join_status,bushtel_profile_url,aliases,sa2_name,mobile_premises_pct,mobile_area_pct,nbn_fixed_premises_pct,nbn_satellite_premises_pct,abs_sa2_name,population_2025,area_km2,population_density_2025,historical_site_name,macro_cell_2022,small_cell_2022,near_cell_2022,provider_2022,historical_match,historical_listed_2022
319,Gochan Jiny Jirra,Minor,-12.19925,134.45751,702031061,West Arnhem,matched,https://bushtel.nt.gov.au/profile/319,"CADELL GUNARDPA, GOCHAN JINY-JIRRA, GOTJANJINJIRRA, GOCHIN JINY JARD, GOCHIN JINY JIRRA",West Arnhem,73,9,0,100,West Arnhem,6377,33509.2,0.2,,,,,,left_only,False
329,Gunbalanya,Major,-12.324,133.056,702031061,West Arnhem,matched,https://bushtel.nt.gov.au/profile/329,"OENPELLI, KUNBARLLANJNJA",West Arnhem,73,9,0,100,West Arnhem,6377,33509.2,0.2,GUNBALANYA,YES,,,TELSTRA,both,True
514,Gunyangara,Minor,-12.215417,136.70569,702041063,East Arnhem,matched,https://bushtel.nt.gov.au/profile/514,"DRIMMIE HEAD, SKI BEACH, MARNGARR",East Arnhem,85,15,24,76,East Arnhem,8130,30989.9,0.3,GUNYANGARA,,,YES,OPTUS/TELSTRA,both,True
517,Gurrumuru,Minor,-12.5922361111,136.2316805556,702041063,East Arnhem,matched,https://bushtel.nt.gov.au/profile/517,GURRUMURRU,East Arnhem,85,15,24,76,East Arnhem,8130,30989.9,0.3,,,,,,left_only,False
41,Haasts Bluff,Major,-23.44733,131.88129,702011053,Tanami,matched,https://bushtel.nt.gov.au/profile/41,"KUNPARRKA, IKUNTJI",Tanami,68,6,0,100,Tanami,3399,192662.3,0.0,,,,,,left_only,False
43,Hermannsburg,Major,-23.9427,132.7787,702011053,Tanami,matched,https://bushtel.nt.gov.au/profile/43,NTARIA,Tanami,68,6,0,100,Tanami,3399,192662.3,0.0,HERMANNSBURG,YES,,,TELSTRA,both,True
600,Hodgson River Station,Minor,-15.574946,134.09553,702051065,Elsey,matched,https://bushtel.nt.gov.au/profile/600,STATION HOMESTEAD,Elsey,74,12,0,100,Elsey,2695,92949.7,0.0,,,,,,left_only,False
250,Imangara,Minor,-21.04961,134.68117,702021055,Barkly,matched,https://bushtel.nt.gov.au/profile/250,"MURRY DOWNS, IMANGARRA, MURRAY DOWNS, IMANGARA MUNGARAI",Barkly,62,5,0,100,Barkly,2596,303169.1,0.0,,,,,,left_only,False
51,Imanpa,Major,-25.13051,132.56999,702011050,Petermann - Simpson,matched,https://bushtel.nt.gov.au/profile/51,MT EBENEZER,Petermann - Simpson,92,6,0,100,Petermann - Simpson,2337,175248.1,0.0,IMANPA,YES,,,TELSTRA,both,True
63,Irrultja,Minor,-21.97997,135.11128,702011052,Sandover - Plenty,matched,https://bushtel.nt.gov.au/profile/63,"IRRWELTY, ITTWELTYE",Sandover - Plenty,70,10,0,100,Sandover - Plenty,4728,129517.2,0.0,,,,,,left_only,False
65,Iwupataka,Minor,-23.79061,133.50327,702011052,Sandover - Plenty,matched,https://bushtel.nt.gov.au/profile/65,JAY CREEK,Sandover - Plenty,70,10,0,100,Sandover - Plenty,4728,129517.2,0.0,,,,,,left_only,False
593,Jilkminggan,Minor,-14.953055,133.3,702051065,Elsey,matched,https://bushtel.nt.gov.au/profile/593,"DJEMBERE, DUCK CREEK, DJILKMINGGAN, JILKMINGGAL",Elsey,74,12,0,100,Elsey,2695,92949.7,0.0,JILKMINGGAN,,YES,,TELSTRA,both,True
603,Kalkarindji,Major,-17.44675,130.83212,702051068,Victoria River,matched,https://bushtel.nt.gov.au/profile/603,"WAVE HILL, KALKARINGI",Victoria River,57,8,0,100,Victoria River,3147,133608.8,0.0,KALKARINDJI,YES,,,TELSTRA,both,True
66,Kaltukatjara,Major,-24.876112,129.07916,702011050,Petermann - Simpson,matched,https://bushtel.nt.gov.au/profile/66,"KALKTUKATJARA, DOCKER RIVER",Petermann - Simpson,92,6,0,100,Petermann - Simpson,2337,175248.1,0.0,KALTUKATJARA,YES,,,TELSTRA,both,True
72,Kintore,Major,-23.27591,129.38725,702011053,Tanami,matched,https://bushtel.nt.gov.au/profile/72,"WALUNGURRU, WALANGURA, WALANGKURA",Tanami,68,6,0,100,Tanami,3399,192662.3,0.0,KINTORE,YES,,,TELSTRA,both,True
608,Kybrook Farm,Minor,-13.86316,131.82196,702031058,Daly,matched,https://bushtel.nt.gov.au/profile/608,COPPERFIELD CREEK,Daly,77,15,0,100,Daly,2221,34828.1,0.1,KYBROOK FARM,,,YES,TELSTRA,both,True
609,Lajamanu,Major,-18.335835,130.63834,702051068,Victoria River,matched,https://bushtel.nt.gov.au/profile/609,HOOKER CREEK,Victoria River,57,8,0,100,Victoria River,3147,133608.8,0.0,LAJAMANU,YES,,,TELSTRA,both,True
86,Laramba,Major,-22.532972,132.75603,702011054,Yuendumu - Anmatjere,matched,https://bushtel.nt.gov.au/profile/86,NAPPERBY,Yuendumu - Anmatjere,87,11,0,100,Yuendumu - Anmatjere,2095,71845.1,0.0,,,,,,left_only,False
721,Likkaparta,Minor,-19.34336,134.53799,702021055,Barkly,matched,https://bushtel.nt.gov.au/profile/721,"LIKAPARRTA, LIKIPARTA, MARAPURN",Barkly,62,5,0,100,Barkly,2596,303169.1,0.0,,,,,,left_only,False
362,Maningrida,Major,-12.0508472222,134.223625,702031061,West Arnhem,matched,https://bushtel.nt.gov.au/profile/362,,West Arnhem,73,9,0,100,West Arnhem,6377,33509.2,0.2,MANINGRIDA,YES,,,TELSTRA,both,True
363,Manmoyi,Minor,-12.54064,134.110013,702031061,West Arnhem,matched,https://bushtel.nt.gov.au/profile/363,MANMOI,West Arnhem,73,9,0,100,West Arnhem,6377,33509.2,0.2,,,,,,left_only,False
595,Manyallaluk,Minor,-14.26649,132.82797,702051065,Elsey,matched,https://bushtel.nt.gov.au/profile/595,EVA VALLEY,Elsey,74,12,0,100,Elsey,2695,92949.7,0.0,MANYALLALUK,YES,,,TELSTRA,both,True
524,Mapuru,Minor,-12.25318,135.43779,702041063,East Arnhem,matched,https://bushtel.nt.gov.au/profile/524,"MAPURA, MAPARU, MARPARU",East Arnhem,85,15,24,76,East Arnhem,8130,30989.9,0.3,,,,,,left_only,False
252,Marlinja,Minor,-17.37111,133.40305,702021055,Barkly,matched,https://bushtel.nt.gov.au/profile/252,NEWCASTLE WATERS,Barkly,62,5,0,100,Barkly,2596,303169.1,0.0,MARLINJA,,,YES,TELSTRA,both,True
374,Milikapiti,Major,-11.421667,130.67418,702031060,Tiwi Islands,matched,https://bushtel.nt.gov.au/profile/374,SNAKE BAY,Tiwi Islands,94,17,0,100,Tiwi Islands,2767,7483.2,0.4,MILIKAPITI,YES,,,TELSTRA,both,True
531,Milingimbi,Major,-12.1036,134.9201,702041063,East Arnhem,matched,https://bushtel.nt.gov.au/profile/531,,East Arnhem,85,15,24,76,East Arnhem,8130,30989.9,0.3,MILINGIMBI,YES,,,TELSTRA,both,True
532,Milyakburra,Major,-13.78389,136.19583,702041062,Anindilyakwa,matched,https://bushtel.nt.gov.au/profile/532,BICKERTON ISLAND,Anindilyakwa,98,34,0,100,Anindilyakwa,2977,2609.0,1.1,,,,,,left_only,False
375,Minjilang,Major,-11.1507,132.5786,702031061,West Arnhem,matched,https://bushtel.nt.gov.au/profile/375,CROKER ISLAND,West Arnhem,73,9,0,100,West Arnhem,6377,33509.2,0.2,MINJILANG,YES,,,TELSTRA,both,True
624,Minyerri,Major,-15.2216,134.0821,702051066,Gulf,matched,https://bushtel.nt.gov.au/profile/624,"MINIYERRE, MINYERE, MINYERRE, HODGSON DOWNS, MINYERI",Gulf,77,4,0,100,Gulf,4915,92278.2,0.1,MINYERRI,YES,,,TELSTRA,both,True
112,Mount Liebig,Major,-23.26605,131.27319,702011053,Tanami,matched,https://bushtel.nt.gov.au/profile/112,"ANTURGUNU, MT LIEBIG, AMUNTURRUNGA, AMUNTURANGU, WATIYAWANU",Tanami,68,6,0,100,Tanami,3399,192662.3,0.0,MOUNT LIEBIG,YES,,,TELSTRA,both,True
244,Mungkarta,Minor,-20.33702,134.19843,702021055,Barkly,matched,https://bushtel.nt.gov.au/profile/244,"MUNGARTA, MCLAREN CREEK",Barkly,62,5,0,100,Barkly,2596,303169.1,0.0,,,,,,left_only,False
120,Mutitjulu,Major,-25.3523,131.0667,702011050,Petermann - Simpson,matched,https://bushtel.nt.gov.au/profile/120,"AYERS ROCK, MUTITJULA",Petermann - Simpson,92,6,0,100,Petermann - Simpson,2337,175248.1,0.0,MUTITJULU,YES,,YES,OPTUS/TELSTRA,both,True
397,Nauiyu,Major,-13.7505416666,130.688930553,702031058,Daly,matched,https://bushtel.nt.gov.au/profile/397,"NAUIYU NAMBIYI, DALY RIVER, NAMIYU, NAUIYU NAMBIYU",Daly,77,15,0,100,Daly,2221,34828.1,0.1,NAUIYU,YES,,,TELSTRA,both,True
542,Ngangalala,Minor,-12.2983472222,134.9922361111,702041063,East Arnhem,matched,https://bushtel.nt.gov.au/profile/542,"NANGALA, NANGALALA",East Arnhem,85,15,24,76,East Arnhem,8130,30989.9,0.3,NGANGALALA,,,YES,TELSTRA,both,True
404,Nganmarriyanga,Major,-14.351111,129.87889,702031058,Daly,matched,https://bushtel.nt.gov.au/profile/404,PALUMPA,Daly,77,15,0,100,Daly,2221,34828.1,0.1,NGANMARRIYANGA,YES,,,TELSTRA,both,True
633,Ngukurr,Major,-14.7317,134.7321,702051066,Gulf,matched,https://bushtel.nt.gov.au/profile/633,ROPER RIVER,Gulf,77,4,0,100,Gulf,4915,92278.2,0.1,NGUKURR,YES,,,TELSTRA,both,True
639,Nitjpurru,Minor,-16.81412,131.22037,702051068,Victoria River,matched,https://bushtel.nt.gov.au/profile/639,"BUNBIDEE, NIJBURRU, PIGEON HOLE",Victoria River,57,8,0,100,Victoria River,3147,133608.8,0.0,,,,,,left_only,False
127,Nturiya,Major,-22.12379,133.26529,702011054,Yuendumu - Anmatjere,matched,https://bushtel.nt.gov.au/profile/127,"TI TREE STATION, TI TREE",Yuendumu - Anmatjere,87,11,0,100,Yuendumu - Anmatjere,2095,71845.1,0.0,NTURIYA,,,YES,TELSTRA,both,True
549,Numbulwar,Major,-14.2791,135.7406,702051066,Gulf,matched,https://bushtel.nt.gov.au/profile/549,ROSE RIVER,Gulf,77,4,0,100,Gulf,4915,92278.2,0.1,NUMBULWAR,YES,,,TELSTRA,both,True
128,Nyirripi,Major,-22.6505,130.5532,702011053,Tanami,matched,https://bushtel.nt.gov.au/profile/128,WAITE CREEK,Tanami,68,6,0,100,Tanami,3399,192662.3,0.0,,,,,,left_only,False
26,Orrtipa-Thurra,Minor,-22.784582,136.16829,702011052,Sandover - Plenty,matched,https://bushtel.nt.gov.au/profile/26,"ORTIPETHERRE, ORTIPPA THURA, BONYA, DORTIPPA-THURRA ASSOC, BAIKAL, ORRTIPA THURRA",Sandover - Plenty,70,10,0,100,Sandover - Plenty,4728,129517.2,0.0,,,,,,left_only,False
131,Papunya,Major,-23.203056,131.9111,702011053,Tanami,matched,https://bushtel.nt.gov.au/profile/131,WARUMPI,Tanami,68,6,0,100,Tanami,3399,192662.3,0.0,PAPUNYA,YES,,,TELSTRA,both,True
410,Peppimenarti,Major,-14.1503,130.0763,702031058,Daly,matched,https://bushtel.nt.gov.au/profile/410,,Daly,77,15,0,100,Daly,2221,34828.1,0.1,PEPPIMENARTI,YES,,,TELSTRA,both,True
744,Pickertaramoor,Minor,-11.763605,130.89011,702031060,Tiwi Islands,matched,https://bushtel.nt.gov.au/profile/744,,Tiwi Islands,94,17,0,100,Tiwi Islands,2767,7483.2,0.4,,,,,,left_only,False
411,Pirlangimpi,Major,-11.4059,130.4172,702031060,Tiwi Islands,matched,https://bushtel.nt.gov.au/profile/411,"GARDEN POINT, PULARUMPI",Tiwi Islands,94,17,0,100,Tiwi Islands,2767,7483.2,0.4,PIRLANGIMPI,YES,,,TELSTRA,both,True
138,Pmara Jutunta,Major,-22.20878,133.43073,702011054,Yuendumu - Anmatjere,matched,https://bushtel.nt.gov.au/profile/138,"TI TREE SIX MILE, SIX MILE",Yuendumu - Anmatjere,87,11,0,100,Yuendumu - Anmatjere,2095,71845.1,0.0,PMARA JUTUNTA,YES,,,TELSTRA,both,True
550,Ramingining,Major,-12.32779,134.93001,702041063,East Arnhem,matched,https://bushtel.nt.gov.au/profile/550,,East Arnhem,85,15,24,76,East Arnhem,8130,30989.9,0.3,RAMINGINING,YES,,,TELSTRA,both,True
641,Rittarangu,Minor,-14.71011,134.56526,702051066,Gulf,matched,https://bushtel.nt.gov.au/profile/641,URAPUNGA,Gulf,77,4,0,100,Gulf,4915,92278.2,0.1,,,,,,left_only,False
258,Robinson River,Major,-16.7597361111,136.9805694444,702051066,Gulf,matched,https://bushtel.nt.gov.au/profile/258,MUNGOORBADA,Gulf,77,4,0,100,Gulf,4915,92278.2,0.1,ROBINSON RIVER,,YES,,TELSTRA,both,True
642,Rockhole,Minor,-14.51935,132.18633,702051067,Katherine,matched,https://bushtel.nt.gov.au/profile/642,ROCHOLE,Katherine,99,41,82,18,Katherine,11269,7416.9,1.5,ROCKHOLE,,,YES,OPTUS/TELSTRA,both,True
469,Rorruwuy,Minor,-12.20292,136.29564,702041063,East Arnhem,matched,https://bushtel.nt.gov.au/profile/469,"BURRAWUY, RHODES POINT",East Arnhem,85,15,24,76,East Arnhem,8130,30989.9,0.3,,,,,,left_only,False
145,Santa Teresa,Major,-24.1307,134.3733,702011052,Sandover - Plenty,matched,https://bushtel.nt.gov.au/profile/145,"LTYENTE PURTE, LTYENTYE APURTE",Sandover - Plenty,70,10,0,100,Sandover - Plenty,4728,129517.2,0.0,SANTA TERESA,YES,,,TELSTRA,both,True
264,Tara,Minor,-21.50658,133.99669,702021055,Barkly,matched,https://bushtel.nt.gov.au/profile/264,NEUTRAL JUNCTION,Barkly,62,5,0,100,Barkly,2596,303169.1,0.0,,,,,,left_only,False
148,Titjikala,Major,-24.67389,134.07584,702011052,Sandover - Plenty,matched,https://bushtel.nt.gov.au/profile/148,MARYVALE,Sandover - Plenty,70,10,0,100,Sandover - Plenty,4728,129517.2,0.0,TITJIKALA,YES,,,TELSTRA,both,True
555,Umbakumba,Major,-13.8597361111,136.811125,702041062,Anindilyakwa,matched,https://bushtel.nt.gov.au/profile/555,,Anindilyakwa,98,34,0,100,Anindilyakwa,2977,2609.0,1.1,UMBAKUMBA,YES,,,TELSTRA,both,True
426,Wadeye,Major,-14.2404,129.5205,702031059,Thamarrurr,matched,https://bushtel.nt.gov.au/profile/426,PORT KEATS,Thamarrurr,99,32,0,100,Thamarrurr,2459,3373.7,0.7,WADEYE,YES,,,TELSTRA,both,True
174,Wallace Rockhole,Major,-24.1245,133.0863,702011053,Tanami,matched,https://bushtel.nt.gov.au/profile/174,"ULANA, WALLACE ROCK HOLE, URANDA",Tanami,68,6,0,100,Tanami,3399,192662.3,0.0,WALLACE ROCKHOLE,YES,,,TELSTRA,both,True
256,Wandangula,Minor,-16.05477,136.34558,702051066,Gulf,matched,https://bushtel.nt.gov.au/profile/256,"POLICE LAGOON, WANDAGULA, WANDA NGULA",Gulf,77,4,0,100,Gulf,4915,92278.2,0.1,,,,,,left_only,False
429,Warruwi,Major,-11.64896,133.38935,702031061,West Arnhem,matched,https://bushtel.nt.gov.au/profile/429,GOULBURN ISLAND,West Arnhem,73,9,0,100,West Arnhem,6377,33509.2,0.2,WARRUWI,YES,,,TELSTRA,both,True
654,Weemol,Minor,-13.6441805556,134.308625,702051065,Elsey,matched,https://bushtel.nt.gov.au/profile/654,"WEMOOL, WEEMOLL",Elsey,74,12,0,100,Elsey,2695,92949.7,0.0,WEEMOL,,,YES,TELSTRA,both,True
186,Willowra,Major,-21.2444583333,132.6139027778,702011054,Yuendumu - Anmatjere,matched,https://bushtel.nt.gov.au/profile/186,"WILLOWRA STATION, WIRLIYATJARRAYI",Yuendumu - Anmatjere,87,11,0,100,Yuendumu - Anmatjere,2095,71845.1,0.0,,,,,,left_only,False
187,Wilora,Minor,-21.7411,133.7311,702011054,Yuendumu - Anmatjere,matched,https://bushtel.nt.gov.au/profile/187,STIRLING STATION,Yuendumu - Anmatjere,87,11,0,100,Yuendumu - Anmatjere,2095,71845.1,0.0,,,,,,left_only,False
434,Woodycupaldiya,Minor,-13.85926,130.00115,702031058,Daly,matched,https://bushtel.nt.gov.au/profile/434,"WOODE CUPILDIYA, WOODYKUPULDIYA, WOODYKAPILDIYA, WOODICUPILDYA, WUDIKAPILDIYEER",Daly,77,15,0,100,Daly,2221,34828.1,0.1,,,,,,left_only,False
581,Wugularr,Major,-14.5548,133.1142,702051065,Elsey,matched,https://bushtel.nt.gov.au/profile/581,BESWICK,Elsey,74,12,0,100,Elsey,2695,92949.7,0.0,,,,,,left_only,False
868,Wurankuwu,Minor,-11.61652,130.27763,702031060,Tiwi Islands,matched,https://bushtel.nt.gov.au/profile/868,RANKU,Tiwi Islands,94,17,0,100,Tiwi Islands,2767,7483.2,0.4,,,,,,left_only,False
400,Wurrumiyanga,Major,-11.758306,130.63747,702031060,Tiwi Islands,matched,https://bushtel.nt.gov.au/profile/400,"NGUIU, BATHURST ISLAND",Tiwi Islands,94,17,0,100,Tiwi Islands,2767,7483.2,0.4,WURRUMIYANGA,YES,,,TELSTRA,both,True
227,Wutunugurra,Major,-20.461555,135.25241,702021055,Barkly,matched,https://bushtel.nt.gov.au/profile/227,"EPENARRA, WETENNGERR, WUTTUNUGURR, WUTUNURRGURA",Barkly,62,5,0,100,Barkly,2596,303169.1,0.0,,,,,,left_only,False
658,Yarralin,Major,-16.44841,130.88279,702051068,Victoria River,matched,https://bushtel.nt.gov.au/profile/658,,Victoria River,57,8,0,100,Victoria River,3147,133608.8,0.0,YARRALIN,YES,,,TELSTRA,both,True
571,Yathalamarra,Minor,-12.2744583333,134.9219583333,702041063,East Arnhem,matched,https://bushtel.nt.gov.au/profile/571,"YATHALAMARA, YATHALMARRA",East Arnhem,85,15,24,76,East Arnhem,8130,30989.9,0.3,YATHALAMARRA,,,YES,TELSTRA,both,True
576,Yirrkala,Major,-12.2527916667,136.8916805556,702041063,East Arnhem,matched,https://bushtel.nt.gov.au/profile/576,,East Arnhem,85,15,24,76,East Arnhem,8130,30989.9,0.3,YIRRKALA,YES,,,TELSTRA,both,True
197,Yuelamu,Major,-22.2583472222,132.2055694444,702011054,Yuendumu - Anmatjere,matched,https://bushtel.nt.gov.au/profile/197,"MOUNT ALLAN, ALPIRAKINA",Yuendumu - Anmatjere,87,11,0,100,Yuendumu - Anmatjere,2095,71845.1,0.0,,,,,,left_only,False
198,Yuendumu,Major,-22.25389,131.79529,702011054,Yuendumu - Anmatjere,matched,https://bushtel.nt.gov.au/profile/198,,Yuendumu - Anmatjere,87,11,0,100,Yuendumu - Anmatjere,2095,71845.1,0.0,YUENDUMU,YES,,,TELSTRA,both,True
